GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
controller,default,AppRunner,4,0,0,0,2,0,2,0,2,0
controller,access,LoggedInAccessRule,47,0,8,0,9,0,6,0,2,0
controller,access,AdminAccessRule,14,0,4,0,2,0,4,0,2,0
controller,access,PublicAccessRule,30,0,4,0,4,0,4,0,2,0
controller,util,JspHelper,16,0,0,0,2,0,2,0,2,0
controller,util,UrlPath,7,0,0,0,1,0,1,0,1,0
controller,Filter,AuthorizationFilter,198,0,20,0,44,0,17,0,7,0
controller,servlets,ItemsServlet,29,0,0,0,7,0,3,0,3,0
controller,servlets,LocaleServlet,73,0,8,0,19,0,7,0,3,0
controller,servlets,OrdersServlet,111,0,4,0,17,0,5,0,3,0
controller,servlets,LogoutServlet,45,0,6,0,11,0,5,0,2,0
controller,servlets,RegistrationServlet,61,0,0,0,14,0,4,0,4,0
controller,servlets,CustomerServlet,47,0,0,0,9,0,3,0,3,0
controller,servlets,LoginServlet,150,0,2,0,32,0,9,0,8,0
